N° du client,Statut du client,Âge du client,Genre du client,Nb de personnes à charge,Niveau de diplôme,Statut marital,Catégorie du revenu annuel,Type de carte,Durée d'engagement en mois,Nb de mois inactif,Nb d'interactions,Montant crédit renouvellé,Nb de transactions,Utilisation moyenne de la carte
709185108,Client actuel,38,M,3,Lycée (équivalent baccalauréat),Marié(e),$60K - $80K,Blue,26,4,2,1542,44,0.265
719596908,Client actuel,56,F,5,Doctorat,Marié(e),Non connu,Blue,48,2,2,2118,30,0.188
719273733,Client actuel,37,M,2,Sans diplôme,Marié(e),$60K - $80K,Blue,36,3,5,998,29,0.125
717348258,Client actuel,33,M,1,Licence,Marié(e),$120K +,Blue,21,1,3,1899,48,0.426
770882508,Client actuel,38,M,2,Niveau Bac+2,Célibataire,$80K - $120K,Blue,24,1,5,773,54,0.045
799026633,Client actuel,56,M,1,Sans diplôme,Marié(e),$120K +,Blue,50,3,5,1518,55,0.093
718777008,Client actuel,59,M,0,Lycée (équivalent baccalauréat),Célibataire,$80K - $120K,Blue,47,1,2,1306,32,0.398
713352183,Client actuel,30,M,1,Master,Marié(e),Moins de $40K,Blue,17,1,2,1227,33,0.171
716128083,Client actuel,56,M,2,Lycée (équivalent baccalauréat),Marié(e),$40K - $60K,Blue,36,2,3,2002,34,0.608
721288158,Client actuel,33,M,2,Non connu,Célibataire,$120K +,Blue,15,2,2,2300,71,0.092
757881258,Client actuel,31,M,0,Licence,Divorcé(e),$60K - $80K,Blue,24,2,2,2092,69,0.494
715843533,Client actuel,26,M,1,Niveau Bac+2,Célibataire,$40K - $60K,Blue,36,4,3,1256,29,0.465
717234183,Client actuel,29,M,1,Licence,Marié(e),Moins de $40K,Blue,18,1,4,629,37,0.232
717260058,Client actuel,53,F,2,Sans diplôme,Marié(e),Moins de $40K,Blue,42,1,5,1284,27,0.553
709710783,Client actuel,35,F,0,Lycée (équivalent baccalauréat),Célibataire,Moins de $40K,Blue,36,3,4,0,71,0.0
787284858,Client actuel,35,M,2,Sans diplôme,Non connu,$120K +,Blue,29,1,2,1731,27,0.525
815845758,Client actuel,56,F,4,Lycée (équivalent baccalauréat),Marié(e),Moins de $40K,Blue,51,2,3,0,24,0.0
720639783,Client actuel,35,F,1,Sans diplôme,Célibataire,Non connu,Silver,27,3,2,0,62,0.0
713331408,Client actuel,35,M,3,Sans diplôme,Marié(e),$40K - $60K,Blue,36,2,5,1647,36,0.19
778693458,Client perdu,32,M,1,Lycée (équivalent baccalauréat),Divorcé(e),$60K - $80K,Blue,13,5,3,0,29,0.0
788610258,Client actuel,49,M,4,Niveau Bac+2,Non connu,Moins de $40K,Blue,43,2,4,2517,73,0.261
711173883,Client actuel,36,M,4,Licence,Divorcé(e),$120K +,Blue,29,2,2,770,54,0.466
717628608,Client actuel,37,M,3,Non connu,Marié(e),$60K - $80K,Blue,29,1,5,1640,34,0.637
789261558,Client actuel,58,M,1,Lycée (équivalent baccalauréat),Marié(e),$60K - $80K,Blue,47,1,4,1392,34,0.629
770647233,Client actuel,35,F,2,Lycée (équivalent baccalauréat),Marié(e),Moins de $40K,Blue,21,6,3,1188,59,0.551
712826208,Client actuel,39,F,2,Licence,Marié(e),$40K - $60K,Blue,26,1,2,1424,33,0.553
718181433,Client actuel,65,F,0,Sans diplôme,Célibataire,Moins de $40K,Blue,56,1,2,1453,88,0.167
714460683,Client actuel,65,M,0,Lycée (équivalent baccalauréat),Marié(e),Moins de $40K,Blue,56,3,5,1736,29,0.452
716460933,Client actuel,51,M,2,Non connu,Marié(e),$120K +,Blue,42,1,4,1427,44,0.138
710787708,Client actuel,56,F,1,Sans diplôme,Marié(e),$40K - $60K,Blue,40,2,5,1271,38,0.237
713800158,Client actuel,58,M,0,Lycée (équivalent baccalauréat),Célibataire,$80K - $120K,Blue,36,3,2,2351,32,0.785
712551258,Client perdu,39,M,1,Sans diplôme,Marié(e),$60K - $80K,Blue,36,6,3,0,17,0.0
715379133,Client actuel,51,F,1,Niveau Bac+2,Célibataire,Moins de $40K,Blue,36,4,2,1145,42,0.659
712091433,Client actuel,58,M,4,Sans diplôme,Célibataire,$40K - $60K,Silver,50,2,3,902,61,0.049
771756333,Client actuel,34,F,3,Licence,Marié(e),Moins de $40K,Blue,23,3,3,1794,37,0.793
779895108,Client actuel,39,M,3,Non connu,Célibataire,$80K - $120K,Blue,23,1,4,2156,36,0.793
771976683,Client actuel,54,F,1,Niveau Bac+2,Marié(e),Non connu,Blue,43,3,2,2130,44,0.365
716800908,Client actuel,26,F,2,Lycée (équivalent baccalauréat),Célibataire,Non connu,Blue,13,0,3,0,49,0.0
789413958,Client actuel,53,M,1,Licence,Célibataire,$80K - $120K,Blue,43,2,3,1018,53,0.085
711574008,Client actuel,32,M,3,Niveau Bac+2,Célibataire,$80K - $120K,Blue,21,3,5,0,59,0.0
714138408,Client actuel,49,M,3,Lycée (équivalent baccalauréat),Marié(e),$60K - $80K,Blue,39,1,4,629,79,0.068
709334658,Client actuel,39,F,2,Sans diplôme,Marié(e),Moins de $40K,Blue,26,2,5,2517,51,0.459
709564683,Client perdu,32,M,2,Licence,Marié(e),$40K - $60K,Blue,22,6,6,0,21,0.0
772292358,Client perdu,30,M,1,Niveau Bac+2,Divorcé(e),$60K - $80K,Blue,19,6,3,0,30,0.0
712933083,Client actuel,37,M,1,Sans diplôme,Célibataire,$80K - $120K,Blue,36,1,2,2378,49,0.76
710497608,Client actuel,38,M,2,Sans diplôme,Célibataire,$40K - $60K,Blue,36,1,2,1670,51,0.215
721443408,Client actuel,46,M,2,Sans diplôme,Célibataire,$120K +,Blue,33,2,3,676,58,0.02
709149408,Client actuel,36,M,2,Sans diplôme,Marié(e),$60K - $80K,Blue,36,3,4,1322,41,0.236
708446808,Client actuel,33,M,1,Master,Marié(e),$80K - $120K,Blue,36,3,2,1359,48,0.461
824192658,Client actuel,58,F,3,Master,Célibataire,Moins de $40K,Blue,54,2,3,0,79,0.0
711625683,Client actuel,46,M,4,Doctorat,Marié(e),$120K +,Blue,36,2,5,862,74,0.278
717487983,Client actuel,39,M,5,Non connu,Marié(e),$80K - $120K,Blue,36,3,3,2120,55,0.109
717301908,Client actuel,54,F,2,Doctorat,Marié(e),Moins de $40K,Blue,46,3,3,1624,55,0.49
718435158,Client actuel,50,M,3,Lycée (équivalent baccalauréat),Marié(e),$120K +,Blue,40,1,4,0,36,0.0
714797733,Client actuel,41,M,3,Niveau Bac+2,Célibataire,$60K - $80K,Blue,33,1,4,0,56,0.0
719213133,Client actuel,53,M,1,Licence,Non connu,$60K - $80K,Blue,41,1,2,1554,60,0.639
798962058,Client actuel,36,F,5,Licence,Marié(e),Moins de $40K,Blue,30,3,3,2399,48,0.773
718970058,Client actuel,38,M,3,Non connu,Marié(e),$120K +,Blue,33,3,4,1168,43,0.038
713021208,Client perdu,55,F,2,Niveau Bac+2,Célibataire,Non connu,Silver,36,6,3,0,40,0.0
810856833,Client actuel,45,M,4,Niveau Bac+2,Non connu,$120K +,Blue,40,2,2,1025,52,0.086
787868958,Client actuel,36,M,2,Lycée (équivalent baccalauréat),Célibataire,$80K - $120K,Blue,27,3,3,979,68,0.067
708161133,Client actuel,45,M,1,Licence,Célibataire,$40K - $60K,Blue,32,1,2,1389,69,0.21
708174708,Client actuel,38,M,4,Licence,Marié(e),$40K - $60K,Blue,27,2,4,1276,38,0.231
708735183,Client actuel,35,F,2,Lycée (équivalent baccalauréat),Marié(e),Moins de $40K,Blue,22,3,3,1848,49,0.726
708445608,Client actuel,48,M,3,Niveau Bac+2,Marié(e),Moins de $40K,Blue,37,3,3,2517,57,0.762
778943883,Client actuel,51,M,2,Sans diplôme,Célibataire,$120K +,Blue,36,2,4,888,42,0.026
788810658,Client actuel,37,F,1,Niveau Bac+2,Célibataire,Non connu,Blue,20,2,5,0,70,0.0
789050883,Client actuel,33,F,2,Doctorat,Célibataire,Non connu,Blue,21,3,4,0,62,0.0
714531108,Client actuel,31,M,1,Niveau Bac+2,Célibataire,$80K - $120K,Blue,36,3,3,1775,52,0.417
711635358,Client actuel,40,F,4,Niveau Bac+2,Célibataire,Moins de $40K,Blue,26,1,2,2517,56,0.345
803648508,Client actuel,43,M,4,Lycée (équivalent baccalauréat),Non connu,$80K - $120K,Blue,37,2,3,758,42,0.055
813200058,Client actuel,63,M,0,Licence,Marié(e),$40K - $60K,Blue,56,2,5,1786,27,0.275
805261983,Client actuel,35,F,4,Non connu,Marié(e),Moins de $40K,Blue,30,3,4,979,61,0.602
715206408,Client actuel,31,F,1,Lycée (équivalent baccalauréat),Célibataire,Moins de $40K,Blue,22,1,5,0,83,0.0
788684508,Client actuel,36,M,4,Sans diplôme,Marié(e),$80K - $120K,Blue,25,3,3,1732,41,0.296
737933883,Client actuel,34,M,1,Lycée (équivalent baccalauréat),Marié(e),$60K - $80K,Blue,27,1,2,2149,49,0.267
768655158,Client actuel,29,M,0,Non connu,Marié(e),$60K - $80K,Blue,23,3,2,1092,39,0.175
774437583,Client actuel,55,M,1,Doctorat,Marié(e),$60K - $80K,Blue,49,2,4,2442,38,0.531
713104458,Client perdu,46,M,2,Licence,Célibataire,$40K - $60K,Blue,31,6,6,0,25,0.0
715462008,Client actuel,45,M,2,Niveau Bac+2,Marié(e),$60K - $80K,Blue,35,3,2,2096,49,0.117
715366083,Client perdu,52,F,0,Doctorat,Célibataire,$60K - $80K,Blue,36,2,3,978,33,0.68
712322058,Client actuel,40,F,3,Lycée (équivalent baccalauréat),Marié(e),Moins de $40K,Blue,32,1,3,1694,49,0.828
719737833,Client actuel,46,F,4,Sans diplôme,Marié(e),Moins de $40K,Blue,36,2,2,0,40,0.0
789530208,Client actuel,54,F,2,Licence,Marié(e),Moins de $40K,Blue,46,2,2,2517,37,0.92
717885183,Client actuel,36,M,1,Licence,Célibataire,Moins de $40K,Blue,25,1,2,2489,79,0.949
716244033,Client perdu,44,M,3,Licence,Marié(e),$40K - $60K,Blue,33,6,3,906,27,0.125
711614658,Client actuel,37,F,2,Sans diplôme,Célibataire,Moins de $40K,Blue,30,3,3,1338,55,0.593
804598908,Client actuel,35,M,3,Licence,Célibataire,$80K - $120K,Blue,25,2,3,2055,49,0.316
719161683,Client actuel,64,F,0,Non connu,Marié(e),Non connu,Blue,55,1,4,1580,44,0.63
719327808,Client actuel,52,F,2,Sans diplôme,Marié(e),Non connu,Blue,36,1,2,2517,34,0.628
714038433,Client actuel,37,F,5,Lycée (équivalent baccalauréat),Célibataire,$40K - $60K,Blue,19,1,2,1987,72,0.611
710129283,Client actuel,45,F,4,Sans diplôme,Marié(e),Non connu,Blue,26,3,1,0,71,0.0
709367433,Client actuel,28,M,1,Non connu,Célibataire,$40K - $60K,Blue,15,3,1,1542,56,0.731
719729433,Client actuel,65,F,1,Licence,Marié(e),Moins de $40K,Blue,56,2,0,1726,51,0.246
717192933,Client actuel,55,M,0,Licence,Marié(e),$120K +,Blue,42,2,1,2517,34,0.303
711734508,Client actuel,55,M,2,Licence,Célibataire,$80K - $120K,Blue,47,3,3,1209,28,0.121
715153158,Client actuel,41,M,4,Sans diplôme,Célibataire,$40K - $60K,Blue,36,3,4,1884,79,0.518
712149033,Client actuel,57,F,2,Lycée (équivalent baccalauréat),Marié(e),Moins de $40K,Blue,46,1,1,1856,55,0.358
713901108,Client actuel,37,M,2,Lycée (équivalent baccalauréat),Célibataire,$60K - $80K,Blue,29,1,4,0,80,0.0
719415858,Client actuel,29,M,0,Niveau Bac+2,Divorcé(e),Non connu,Blue,15,3,2,1720,71,0.554
719385558,Client actuel,62,F,0,Niveau Bac+2,Marié(e),$40K - $60K,Blue,49,1,2,0,32,0.0
779528658,Client actuel,42,M,4,Niveau Bac+2,Non connu,$60K - $80K,Blue,25,3,3,1115,41,0.361
721508283,Client actuel,47,F,1,Licence,Marié(e),Moins de $40K,Blue,36,2,1,0,62,0.0
757753083,Client actuel,44,F,0,Licence,Marié(e),Moins de $40K,Silver,36,3,2,1229,74,0.122
797753283,Client actuel,34,F,1,Lycée (équivalent baccalauréat),Marié(e),Moins de $40K,Blue,28,3,4,2036,33,0.752
807523008,Client actuel,37,M,1,Licence,Célibataire,Non connu,Blue,32,1,3,2007,47,0.456
711416958,Client actuel,33,F,2,Licence,Célibataire,Non connu,Blue,21,3,2,0,65,0.0
780865308,Client actuel,40,M,4,Sans diplôme,Marié(e),$80K - $120K,Blue,23,3,2,1657,86,0.17
708423933,Client actuel,51,M,2,Doctorat,Célibataire,$40K - $60K,Blue,40,2,0,0,64,0.0
714321408,Client actuel,65,M,1,Lycée (équivalent baccalauréat),Marié(e),$40K - $60K,Blue,56,2,2,1326,32,0.59
771852483,Client actuel,46,M,3,Licence,Célibataire,$80K - $120K,Blue,35,3,4,0,77,0.0
708185208,Client actuel,27,M,0,Licence,Célibataire,$40K - $60K,Blue,16,1,2,1118,31,0.352
714920208,Client actuel,37,F,1,Lycée (équivalent baccalauréat),Non connu,Moins de $40K,Blue,30,5,0,1810,68,0.603
789952158,Client actuel,34,F,1,Doctorat,Marié(e),Non connu,Blue,25,3,3,2069,57,0.893
713237958,Client actuel,34,M,0,Licence,Marié(e),$40K - $60K,Blue,17,1,4,2092,43,0.793
715956258,Client actuel,35,F,1,Sans diplôme,Marié(e),Moins de $40K,Blue,36,2,4,0,60,0.0
769196433,Client actuel,55,F,2,Master,Marié(e),Moins de $40K,Blue,49,1,1,2276,62,0.943
778942233,Client actuel,60,F,0,Doctorat,Marié(e),Moins de $40K,Blue,45,2,4,648,27,0.451
708651933,Client actuel,56,M,2,Licence,Marié(e),$60K - $80K,Blue,44,1,2,1928,57,0.944
720467583,Client actuel,52,M,2,Lycée (équivalent baccalauréat),Célibataire,$80K - $120K,Blue,46,3,2,2517,67,0.073
716549058,Client actuel,45,F,4,Sans diplôme,Marié(e),$40K - $60K,Blue,36,1,3,2290,41,0.736
713533983,Client actuel,56,M,1,Licence,Marié(e),$120K +,Blue,48,3,4,1207,33,0.467
787463508,Client perdu,26,M,0,Licence,Célibataire,$60K - $80K,Blue,13,2,5,2410,20,0.976
710256708,Client actuel,30,M,1,Non connu,Célibataire,Moins de $40K,Blue,19,2,0,1712,68,0.196
708980283,Client actuel,34,M,3,Lycée (équivalent baccalauréat),Marié(e),$80K - $120K,Blue,23,1,4,2517,55,0.601
719484408,Client actuel,39,M,3,Sans diplôme,Marié(e),$60K - $80K,Blue,36,2,4,1459,57,0.307
710023233,Client actuel,36,M,3,Licence,Célibataire,$120K +,Blue,36,2,4,1300,65,0.053
789101883,Client actuel,32,M,3,Non connu,Célibataire,$120K +,Blue,20,2,2,1673,66,0.117
778381608,Client perdu,48,M,4,Doctorat,Marié(e),$80K - $120K,Blue,28,6,5,417,46,0.063
787492908,Client actuel,50,F,2,Sans diplôme,Marié(e),Non connu,Blue,34,3,2,905,73,0.039
709932558,Client actuel,39,F,2,Sans diplôme,Marié(e),Moins de $40K,Blue,26,3,2,2517,34,0.725
780219483,Client actuel,61,F,0,Licence,Marié(e),Moins de $40K,Blue,51,2,1,1041,28,0.463
708590658,Client actuel,65,F,1,Non connu,Marié(e),Non connu,Blue,53,3,2,2312,40,0.145
715143333,Client actuel,45,F,1,Lycée (équivalent baccalauréat),Divorcé(e),Moins de $40K,Blue,36,2,2,1578,81,0.167
801048483,Client actuel,34,M,3,Sans diplôme,Divorcé(e),$120K +,Blue,28,3,3,1814,49,0.198
711913833,Client actuel,37,M,3,Licence,Marié(e),$40K - $60K,Blue,36,2,4,1437,31,0.163
715413483,Client actuel,44,F,3,Licence,Célibataire,Moins de $40K,Blue,36,1,3,1028,77,0.253
715750758,Client actuel,56,M,1,Sans diplôme,Marié(e),$80K - $120K,Blue,36,1,1,1535,35,0.17
714062958,Client actuel,36,M,4,Non connu,Célibataire,$40K - $60K,Blue,36,1,2,994,64,0.101
710458758,Client actuel,65,F,0,Licence,Marié(e),Moins de $40K,Blue,53,3,5,2491,30,0.599
719494983,Client actuel,26,M,0,Licence,Célibataire,Moins de $40K,Blue,15,3,3,2069,44,0.755
710586483,Client perdu,26,F,0,Lycée (équivalent baccalauréat),Célibataire,Non connu,Blue,13,2,5,0,23,0.0
772637058,Client actuel,34,M,3,Sans diplôme,Marié(e),$60K - $80K,Blue,24,1,4,1740,51,0.213
718229133,Client actuel,51,M,2,Niveau Bac+2,Marié(e),$120K +,Blue,41,2,4,0,57,0.0
718423533,Client actuel,57,M,3,Niveau Bac+2,Non connu,$60K - $80K,Blue,50,3,4,1181,74,0.07
781089708,Client actuel,30,M,0,Licence,Divorcé(e),$80K - $120K,Blue,23,1,2,1285,46,0.048
773082033,Client actuel,35,M,1,Master,Célibataire,$80K - $120K,Blue,27,3,4,1363,38,0.053
815288583,Client actuel,32,M,0,Licence,Marié(e),$40K - $60K,Blue,27,3,2,1591,36,0.33
720431433,Client actuel,62,M,1,Licence,Marié(e),Non connu,Blue,36,2,2,2308,35,0.722
709164408,Client perdu,32,M,1,Sans diplôme,Marié(e),$60K - $80K,Blue,23,6,3,1696,20,0.765
710567508,Client actuel,53,M,3,Lycée (équivalent baccalauréat),Célibataire,$80K - $120K,Blue,44,2,3,2202,33,0.094
719427333,Client actuel,55,M,3,Niveau Bac+2,Marié(e),$60K - $80K,Blue,36,4,4,1737,27,0.771
714765408,Client actuel,26,F,1,Non connu,Célibataire,Moins de $40K,Blue,36,3,3,1990,57,0.778
709785783,Client perdu,35,F,0,Licence,Célibataire,$60K - $80K,Blue,25,5,5,0,34,0.0
809290308,Client actuel,31,F,0,Licence,Marié(e),Moins de $40K,Blue,26,1,1,1173,45,0.331
779598183,Client actuel,53,M,3,Non connu,Célibataire,$60K - $80K,Blue,42,1,2,1700,54,0.074
779783508,Client actuel,45,M,2,Licence,Marié(e),$40K - $60K,Blue,34,1,3,901,56,0.069
719568333,Client actuel,39,M,3,Non connu,Célibataire,$80K - $120K,Silver,36,3,2,1900,36,0.055
719207733,Client actuel,61,F,0,Lycée (équivalent baccalauréat),Marié(e),Moins de $40K,Blue,53,2,0,802,36,0.236
715533108,Client actuel,31,F,0,Sans diplôme,Célibataire,Moins de $40K,Blue,20,3,4,955,62,0.203
714816258,Client actuel,37,M,2,Licence,Célibataire,$60K - $80K,Blue,36,2,2,947,58,0.124
787573683,Client actuel,41,M,3,Master,Marié(e),$60K - $80K,Blue,34,2,2,1319,74,0.503
804310758,Client actuel,58,M,3,Licence,Marié(e),$120K +,Blue,52,2,5,1578,48,0.088
792912708,Client actuel,45,M,5,Licence,Marié(e),$40K - $60K,Silver,39,1,5,2098,64,0.138
719078283,Client actuel,57,F,4,Lycée (équivalent baccalauréat),Marié(e),Moins de $40K,Blue,47,3,4,2517,35,0.789
708620283,Client actuel,35,M,1,Non connu,Célibataire,$60K - $80K,Blue,25,3,2,2001,59,0.331
770985633,Client actuel,39,M,2,Non connu,Marié(e),$40K - $60K,Blue,26,1,2,2027,42,0.368
780094008,Client actuel,55,M,3,Doctorat,Marié(e),$120K +,Blue,40,3,1,1119,40,0.087
716420358,Client actuel,41,F,2,Lycée (équivalent baccalauréat),Marié(e),$40K - $60K,Blue,36,2,4,1490,78,0.573
825756333,Client actuel,55,F,0,Sans diplôme,Marié(e),Moins de $40K,Blue,51,3,1,1885,48,0.924
755273658,Client actuel,52,F,2,Licence,Marié(e),Moins de $40K,Blue,45,3,3,1683,54,0.661
709096908,Client actuel,57,M,2,Licence,Marié(e),$120K +,Blue,49,3,1,984,35,0.209
714840858,Client actuel,40,F,3,Lycée (équivalent baccalauréat),Non connu,Moins de $40K,Blue,31,2,4,1551,65,0.698
721205508,Client actuel,47,M,4,Lycée (équivalent baccalauréat),Marié(e),$80K - $120K,Blue,36,3,4,0,56,0.0
786493908,Client actuel,42,F,4,Sans diplôme,Célibataire,Moins de $40K,Silver,36,3,3,0,64,0.0
803963808,Client actuel,39,M,3,Licence,Célibataire,$80K - $120K,Blue,34,3,5,0,74,0.0
806170158,Client actuel,39,M,4,Licence,Célibataire,$60K - $80K,Gold,34,3,2,542,78,0.016
751469808,Client actuel,36,M,3,Licence,Marié(e),$120K +,Blue,29,2,4,1945,33,0.151
721055058,Client actuel,36,M,2,Sans diplôme,Marié(e),$60K - $80K,Blue,21,1,5,2517,46,0.197
709794333,Client actuel,29,M,0,Licence,Marié(e),Moins de $40K,Blue,19,2,4,1430,30,0.506
718361583,Client actuel,56,F,2,Sans diplôme,Marié(e),Non connu,Blue,36,3,5,0,44,0.0
714327183,Client actuel,37,F,4,Licence,Marié(e),Moins de $40K,Blue,28,3,1,1389,54,0.761
808909008,Client actuel,61,M,0,Master,Marié(e),Moins de $40K,Blue,56,3,4,0,31,0.0
716207508,Client actuel,36,M,3,Lycée (équivalent baccalauréat),Marié(e),$60K - $80K,Blue,36,2,4,1517,38,0.276
768965208,Client actuel,51,F,1,Licence,Marié(e),$40K - $60K,Blue,45,2,2,865,71,0.128
720185058,Client perdu,46,M,3,Licence,Marié(e),$60K - $80K,Blue,36,5,5,0,23,0.0
715220508,Client actuel,31,F,0,Lycée (équivalent baccalauréat),Marié(e),Moins de $40K,Blue,22,2,1,2517,57,0.769
712112733,Client actuel,33,M,2,Doctorat,Célibataire,$40K - $60K,Blue,25,2,2,1541,67,0.164
712298883,Client actuel,50,F,3,Lycée (équivalent baccalauréat),Célibataire,Moins de $40K,Blue,38,3,1,663,73,0.461
717813558,Client perdu,57,F,3,Lycée (équivalent baccalauréat),Marié(e),Non connu,Blue,36,7,2,1960,38,0.234
716823408,Client actuel,65,M,0,Doctorat,Célibataire,Non connu,Blue,56,2,2,1608,77,0.057
719089383,Client actuel,48,M,2,Lycée (équivalent baccalauréat),Marié(e),$40K - $60K,Blue,29,2,1,2371,80,0.384
710039208,Client actuel,57,F,3,Non connu,Célibataire,Non connu,Blue,40,3,1,966,87,0.458
780237033,Client actuel,63,F,1,Non connu,Marié(e),$40K - $60K,Blue,49,1,3,1819,35,0.579
720986958,Client actuel,50,F,2,Licence,Divorcé(e),$40K - $60K,Blue,40,2,5,2517,36,0.303
709473708,Client actuel,39,M,3,Licence,Célibataire,$80K - $120K,Blue,31,2,3,1661,33,0.054
708593883,Client actuel,39,M,2,Niveau Bac+2,Marié(e),$60K - $80K,Blue,26,1,4,1573,38,0.576
710241858,Client actuel,39,F,4,Non connu,Marié(e),Moins de $40K,Blue,31,1,4,0,36,0.0
715392558,Client actuel,52,M,1,Non connu,Célibataire,$120K +,Blue,44,1,2,0,56,0.0
717399183,Client actuel,37,M,1,Licence,Marié(e),$80K - $120K,Blue,26,3,1,1176,52,0.146
817925058,Client actuel,50,F,2,Sans diplôme,Marié(e),Non connu,Blue,45,1,4,2401,35,0.424
716029158,Client actuel,59,M,0,Non connu,Marié(e),$60K - $80K,Blue,36,4,5,1366,35,0.323
715043508,Client actuel,38,M,2,Licence,Non connu,$40K - $60K,Blue,36,3,4,0,61,0.0
716610558,Client actuel,65,F,0,Lycée (équivalent baccalauréat),Célibataire,$40K - $60K,Blue,36,3,3,1559,71,0.142
716768808,Client actuel,57,M,1,Non connu,Marié(e),$120K +,Blue,36,2,4,1967,43,0.082
795810633,Client actuel,65,M,0,Sans diplôme,Marié(e),Non connu,Blue,56,3,2,1295,24,0.128
779925033,Client actuel,38,F,4,Licence,Marié(e),$40K - $60K,Blue,22,3,4,1969,60,0.657
790225758,Client actuel,41,M,2,Niveau Bac+2,Célibataire,$80K - $120K,Blue,35,3,3,620,47,0.234
713879283,Client actuel,55,F,2,Licence,Marié(e),Moins de $40K,Blue,47,1,2,1300,34,0.284
715968858,Client actuel,28,M,0,Master,Marié(e),Non connu,Blue,13,1,2,1630,33,0.625
767687208,Client actuel,31,M,2,Non connu,Célibataire,$80K - $120K,Blue,24,3,3,1180,69,0.034
778728783,Client actuel,39,F,2,Non connu,Marié(e),Moins de $40K,Blue,19,3,1,2095,56,0.664
713637783,Client actuel,44,F,3,Licence,Marié(e),Non connu,Blue,31,2,0,2053,38,0.082
718162908,Client actuel,55,M,3,Niveau Bac+2,Marié(e),$80K - $120K,Blue,42,2,1,614,48,0.024
708664008,Client actuel,57,M,3,Niveau Bac+2,Marié(e),$80K - $120K,Blue,45,3,4,0,37,0.0
711929058,Client actuel,28,M,0,Lycée (équivalent baccalauréat),Marié(e),Non connu,Blue,21,3,5,1209,49,0.047
770781558,Client actuel,35,F,2,Licence,Marié(e),Moins de $40K,Blue,21,1,2,2517,31,0.779
790048158,Client actuel,46,F,4,Niveau Bac+2,Marié(e),Moins de $40K,Blue,38,3,3,1865,54,0.21
721258158,Client actuel,65,F,1,Sans diplôme,Célibataire,Non connu,Blue,51,3,5,1491,63,0.135
786480183,Client actuel,50,F,2,Sans diplôme,Marié(e),Non connu,Blue,44,2,5,0,69,0.0
721378008,Client actuel,31,M,0,Sans diplôme,Divorcé(e),$40K - $60K,Blue,21,2,2,1461,71,0.557
786566733,Client actuel,49,M,2,Non connu,Célibataire,$80K - $120K,Blue,43,3,5,1190,64,0.241
794551383,Client actuel,50,F,3,Niveau Bac+2,Célibataire,Moins de $40K,Blue,32,3,4,1218,75,0.276
820981383,Client actuel,44,F,4,Lycée (équivalent baccalauréat),Divorcé(e),Moins de $40K,Blue,39,1,4,1796,42,0.194
713366583,Client actuel,63,F,1,Lycée (équivalent baccalauréat),Marié(e),Moins de $40K,Blue,56,1,3,1685,40,0.552
767311008,Client actuel,41,M,1,Licence,Divorcé(e),$80K - $120K,Blue,35,2,3,770,41,0.04
716624133,Client actuel,56,M,1,Non connu,Célibataire,$80K - $120K,Blue,36,1,3,1880,19,0.147
712727283,Client actuel,55,M,1,Licence,Marié(e),$60K - $80K,Blue,36,2,3,1275,28,0.273
716059608,Client actuel,48,F,4,Niveau Bac+2,Célibataire,Moins de $40K,Blue,38,3,3,1505,67,0.308
708292833,Client actuel,35,M,2,Lycée (équivalent baccalauréat),Célibataire,$120K +,Blue,36,2,3,1250,60,0.046
720013083,Client actuel,30,F,0,Master,Célibataire,Moins de $40K,Blue,18,3,2,797,74,0.374
710540883,Client actuel,37,M,3,Lycée (équivalent baccalauréat),Célibataire,$80K - $120K,Blue,24,3,2,0,67,0.0
709212183,Client actuel,53,F,2,Licence,Marié(e),Moins de $40K,Blue,36,1,3,1470,53,0.463
713424108,Client actuel,37,M,1,Licence,Célibataire,$60K - $80K,Blue,27,1,3,2349,57,0.548
718476033,Client actuel,65,F,0,Sans diplôme,Célibataire,Non connu,Blue,56,3,5,2355,49,0.117
815001108,Client actuel,48,M,2,Doctorat,Célibataire,Moins de $40K,Blue,43,3,2,1685,67,0.283
709802208,Client actuel,37,M,1,Licence,Marié(e),$40K - $60K,Blue,17,1,4,0,61,0.0
713445183,Client actuel,35,M,1,Lycée (équivalent baccalauréat),Marié(e),$60K - $80K,Blue,26,3,2,1841,58,0.459
717310458,Client actuel,35,F,3,Licence,Célibataire,Moins de $40K,Blue,27,3,2,938,65,0.162
789158433,Client actuel,49,F,2,Lycée (équivalent baccalauréat),Non connu,$40K - $60K,Blue,38,1,2,1674,53,0.67
788761608,Client actuel,26,F,0,Lycée (équivalent baccalauréat),Célibataire,Non connu,Blue,13,3,4,2286,57,0.222
709916058,Client actuel,58,M,1,Non connu,Marié(e),$60K - $80K,Blue,36,1,3,2163,40,0.922
789804933,Client actuel,29,F,2,Sans diplôme,Célibataire,Non connu,Blue,18,1,2,1236,69,0.053
780070833,Client actuel,58,F,2,Non connu,Marié(e),Moins de $40K,Blue,43,2,2,2517,29,0.83
772776033,Client actuel,33,M,2,Niveau Bac+2,Célibataire,$80K - $120K,Blue,23,4,3,1874,47,0.265
719804208,Client actuel,36,M,2,Licence,Marié(e),$40K - $60K,Blue,28,1,3,1873,48,0.274
715077483,Client actuel,47,F,3,Doctorat,Marié(e),Moins de $40K,Blue,36,3,4,772,40,0.537
